title,ingredients,directions
Make-Ahead Vegetarian Moroccan Stew,"[""Spice Mixture:"", ""1 teaspoon ground cinnamon"", ""1 teaspoon ground cumin"", ""1 teaspoon kosher salt"", ""1/2 teaspoon ground ginger"", ""1/4 teaspoon ground cloves"", ""1/4 teaspoon ground nutmeg"", ""1/4 teaspoon ground turmeric"", ""1/8 teaspoon curry powder"", ""Stew Vegetables:"", ""1 tablespoon butter"", ""1 sweet onion, chopped"", ""2 cups finely shredded kale"", ""4 (14 ounce) cans organic vegetable broth"", ""1 (15 ounce) can garbanzo beans, drained"", ""1 (14.5 ounce) can diced tomatoes, undrained"", ""3 large potatoes, peeled and diced"", ""2 sweet potatoes, peeled and diced"", ""4 large carrots, chopped"", ""1 cup dried lentils, rinsed"", ""1/2 cup chopped dried apricots"", ""1 tablespoon honey"", ""1 teaspoon ground black pepper, to taste"", ""1 tablespoon cornstarch (optional)"", ""1 tablespoon water (optional)""]","[""Combine cinnamon, cumin, salt, ginger, cloves, nutmeg, turmeric, and curry powder in a large bowl."", ""Melt butter in a large pot over medium heat. Cook the onion in the butter until soft and just beginning to brown, 5 to 10 minutes. Stir in kale and spice mixture; cook until kale begins to wilt and spices are fragrant, about 2 minutes."", ""Pour the vegetable broth into the pot. Stir garbanzo beans, tomatoes, potatoes, sweet potatoes, carrots, lentils, apricots, and honey, into the broth; bring to boil, reduce heat to low, and simmer until vegetables and lentils are cooked and tender, about 30 minutes. Season stew with black pepper."", ""Dissolve cornstarch in water; stir into stew and simmer thickened, about 5 minutes.""]"
Moroccan Chicken With Saffron And Preserved Lemon,"[""Paste:"", ""1/4 cup olive oil, or to taste"", ""3 cloves garlic, minced"", ""1 teaspoon ground turmeric"", ""1 teaspoon cumin seeds"", ""salt and ground black pepper to taste"", ""4 large chicken thighs"", ""2 tablespoons olive oil, or as needed"", ""1 white onion, chopped"", ""2 cups water, or as needed"", ""16 saffron threads"", ""1/2 preserved lemon, pulp discarded and thinly sliced"", ""1/4 cup olives, or to taste (optional)"", ""2 artichoke bottoms, chopped (optional)"", ""1/4 cup coarsely chopped parsley (optional)""]","[""Whisk 1/4 cup olive oil, garlic, turmeric, cumin seeds, salt, and pepper together in a bowl and pour into a resealable plastic bag or container. Add chicken, coat with the paste and seal bag or container. Marinate in the refrigerator, 4 hours to overnight."", ""Heat 2 tablespoons olive oil in a large stockpot over medium-high heat. Add onion; cook and stir until soft and translucent, 5 to 7 minutes. Remove chicken from marinade, discarding marinade. Add chicken thighs skin-side down to stockpot and cook until browned, about 4 minutes. Flip chicken thighs and cook until browned on second side, about 3 minutes more."", ""Lower heat to medium and add water to cover chicken halfway, cover stockpot, and cook for 20 minutes. Uncover stockpot, sprinkle saffron threads onto chicken, and top with preserved lemon slices. Replace cover and cook until chicken is no longer pink at the bone and juices run clear, about 5 minutes more. An instant-read thermometer inserted near the bone should read at least 165 degrees F (74 degrees C). Uncover stockpot and transfer chicken to a serving platter."", ""Continue simmering liquid in stockpot until thickened to sauce consistency, 5 to 7 minutes. Spoon sauce over chicken; top with olives, artichokes, and parsley.""]"
Moroccan Lentil Soup,"[""2 onions, chopped"", ""2 cloves garlic, minced"", ""1 teaspoon grated fresh ginger"", ""6 cups water"", ""1 cup red lentils"", ""1 (15 ounce) can garbanzo beans, drained"", ""1 (19 ounce) can cannellini beans"", ""1 (14.5 ounce) can diced tomatoes"", ""1/2 cup diced carrots"", ""1/2 cup chopped celery"", ""1 teaspoon garam masala"", ""1 1/2 teaspoons ground cardamom"", ""1/2 teaspoon ground cayenne pepper"", ""1/2 teaspoon ground cumin"", ""1 tablespoon olive oil""]","[""In large pot saute; the onions, garlic, and ginger in a little olive oil for about 5 minutes."", ""Add the water, lentils, chick peas, white kidney beans, diced tomatoes, carrots, celery, garam masala, cardamom, cayenne pepper and cumin. Bring to a boil for a few minutes then simmer for 1 to 1 1/2 hours or longer, until the lentils are soft."", ""Puree half the soup in a food processor or blender. Return the pureed soup to the pot, stir and enjoy!""]"
Moroccan Couscous,"[""1 1/4 teaspoons ground cumin"", ""1/2 teaspoon ground ginger"", ""1/4 teaspoon ground cloves"", ""1/8 teaspoon ground cayenne pepper"", ""1/2 teaspoon ground cardamom"", ""1/4 teaspoon ground coriander"", ""1/4 teaspoon ground allspice"", ""1 tablespoon olive oil"", ""1 red onion, cut in half and thinly sliced"", ""1 red, green, or yellow bell pepper, cut into 1\"" pieces"", ""2 zucchinis, halved lengthwise and cut into 3/4 inch pieces"", ""1/2 cup golden raisins"", ""1 teaspoon kosher salt"", ""grated zest of one orange"", ""1 (14.5 ounce) can low sodium garbanzo beans, rinsed and drained"", ""1 1/2 cups chicken broth"", ""1/2 cup orange juice"", ""1 1/2 cups couscous"", ""3 tablespoons chopped fresh mint""]","[""Place a large, heavy bottomed pot over medium heat. Stir in the cumin, ginger, cloves, cayenne, cardamom, coriander, and allspice; gently toast until fragrant, about 2 to 3 minutes. Stir in oil and onion, cook until softened. Stir in the bell pepper, and zucchini; cook for 5 minutes. Stir in the raisins, salt, zest, and garbanzos."", ""Pour in the chicken broth and orange juice; turn heat to high and bring to a boil. When the mixture is boiling, stir in the couscous and remove from heat; cover, and let stand 5 minutes. Fluff with a fork, and fold in chopped mint.""]"
Moroccan Potato Casserole,"[""6 cloves garlic"", ""salt to taste"", ""2 teaspoons paprika"", ""1/2 teaspoon ground cumin"", ""1/4 teaspoon ground cayenne pepper"", ""3/4 cup chopped fresh cilantro"", ""3/4 cup chopped parsley"", ""1 lemon, juiced"", ""3 tablespoons red wine vinegar"", ""3 tablespoons olive oil"", ""1 1/2 pounds red potatoes, sliced 1/2 inch thick"", ""1 large red bell pepper, cut into 1 inch pieces"", ""1 yellow bell pepper, cut into 1 1/2 inch squares"", ""1 large green bell pepper, cut into 1 1/2 inch pieces"", ""4 stalks celery, cut into 2 inch pieces"", ""1 pound tomatoes, each cut into 8 wedges"", ""2 tablespoons olive oil""]","[""Preheat oven to 350 degrees F (175 degrees C)."", ""Combine garlic, 1/2 teaspoon salt, paprika, cumin, and cayenne in a food processor bowl. Process until mixture forms a paste. Add herbs, and pulse a few times to blend. Add lemon juice, vinegar, and 2 to 3 tablespoons olive oil; blend. Season to taste with salt."", ""In a large bowl, combine potatoes, peppers, and celery. Season with salt, and toss with herb sauce. Transfer to a large shallow baking dish. Scatter tomatoes among the potato mixture. Drizzle 1 to 2 tablespoons oil over top, and cover with foil."", ""Bake for 35 minutes. Remove foil. Continue baking until vegetables are tender, 20 to 30 minutes. Serve warm.""]"
Moroccan Lentil Salad,"[""1/2 cup dry lentils"", ""1 1/2 cups water"", ""1/2 (15 ounce) can garbanzo beans, drained"", ""2 tomatoes, chopped"", ""4 green onions, chopped"", ""2 minced hot green chile peppers"", ""1 green bell pepper, chopped"", ""1/2 yellow bell pepper, chopped"", ""1 red bell pepper, chopped"", ""1 lime, juiced"", ""2 tablespoons olive oil"", ""1/4 cup chopped fresh cilantro"", ""salt to taste""]","[""Place lentils and water in a pot. Bring water to boil, reduce to simmer. Cook for 30 minutes or until tender."", ""In a medium size mixing bowl combine lentils, chickpeas, tomatoes, green onions, green chilies, bell peppers, lime juice, olive oil, cilantro, and salt to taste. Toss well. Chill for 20 minutes. Serve chilled.""]"
Moroccan Carrot Dip,"[""1 pound carrots, peeled and thinly sliced"", ""3 cloves garlic, thinly sliced"", ""1 (2 inch) piece fresh ginger root, peeled and thinly sliced"", ""3/4 teaspoon salt, divided"", ""1/3 cup apricot preserves"", ""2 tablespoons fresh lemon juice"", ""4 teaspoons toasted sesame oil"", ""1 1/2 teaspoons ground coriander"", ""1/8 teaspoon cayenne pepper""]","[""Put carrots, garlic, ginger, and 1/4 teaspoon salt in a large saucepan. Add 2 cups water to cover. Bring to a boil, then reduce heat and simmer, covered, until carrots are tender, 10 to 12 minutes. Drain."", ""Transfer carrot mixture to a food processor along with remaining 1/2 teaspoon salt, apricot preserves, lemon juice, sesame oil, coriander, and cayenne. Process until almost smooth.""]"
Moroccan-Style Chicken With Butternut Squash Noodles,"[""2 cups spiralized butternut squash"", ""3 tablespoons olive oil, divided"", ""salt and ground black pepper to taste"", ""2 tablespoons butter"", ""1 1/2 pounds skinless, boneless chicken breasts, thinly sliced"", ""1 teaspoon Moroccan spice mix (such as McCormick(R)), or to taste"", ""1/2 cup orange juice"", ""1/4 cup chopped dried apricots"", ""1/4 cup dried cranberries"", ""1/4 cup chopped dates"", ""1/4 cup almond slivers"", ""2 cups cooked rice""]","[""Preheat the oven to 400 degrees F (200 degrees C)."", ""Place spiralized butternut squash in a bowl; add 1 tablespoon oil, salt, and pepper. Toss to coat and transfer to a baking sheet."", ""Bake in the preheated oven until just tender, 7 to 10 minutes."", ""Heat butter and remaining 2 tablespoons oil in a large saute pan over medium-high heat. Add chicken and sprinkle both sides with Moroccan spice, salt, and pepper to taste. Cover pan and cook, turning occasionally, until chicken is no longer pink in the center and the juices run clear, 5 to 7 minutes. Remove chicken and set aside."", ""Add orange juice, apricots, cranberries, and dates to the same saute pan over medium heat. Cook and stir until orange juice thickens, 3 to 4 minutes. Add almonds and toss to coat. Remove topping from heat."", ""Plate each portion with butternut squash, cooked rice, chicken, and topping.""]"
Moroccan Lamb Tagine (Mrouzia),"[""1/2 cup water"", ""1 tablespoon paprika"", ""1 1/2 teaspoons ras el hanout (optional)"", ""1 teaspoon ground black pepper"", ""1 teaspoon ground cinnamon"", ""1 teaspoon ground coriander"", ""1/2 teaspoon ground cloves"", ""1/2 teaspoon ground nutmeg"", ""1/2 teaspoon ground cardamom"", ""1/4 teaspoon cayenne pepper, or more to taste"", ""1/4 teaspoon ground turmeric"", ""salt to taste"", ""1/4 teaspoon red pepper flakes (optional)"", ""3 pounds lamb shoulder, trimmed and cut into cubes"", ""1/2 cup butter"", ""2 medium onions, finely chopped"", ""1 shallot, finely chopped"", ""2 cloves garlic, finely chopped"", ""2 cinnamon sticks"", ""3 cups chicken stock, or more as needed"", ""2 cups whole blanched almonds"", ""1 cup diced carrots"", ""1 cup chopped dried apricots"", ""1/2 cup raisins"", ""1/2 cup pitted, chopped prunes (optional)"", ""1/3 cup honey"", ""1 tablespoon lemon juice, or more to taste""]","[""Mix water, paprika, ras el hanout, black pepper, cinnamon, coriander, cloves, nutmeg, cardamom, cayenne pepper, turmeric, and salt in a small bowl. Add red pepper flakes to the spice paste if you want more of a kick to your dish."", ""Place lamb cubes in a large bowl and rub in the spice paste. Cover and refrigerate 8 hours to overnight."", ""Melt butter in a Dutch oven. Add onions, shallot, garlic, and cinnamon sticks; saute for 6 to 8 minutes. Add lamb with the spice paste. Cover with chicken stock and bring to a boil. Reduce heat to low and simmer until tender, 1 to 1 1/2 hours. Add more stock if lamb looks dry."", ""Add almonds, carrots, apricots, raisins, prunes, and honey to the Dutch oven. Simmer until lamb is completely tender, carrots are cooked, and almonds are slightly softened, 15 to 30 minutes more. Add lemon juice. Season with salt.""]"
Moroccan-Style Stuffed Acorn Squash,"[""2 tablespoons brown sugar"", ""1 tablespoon butter, melted"", ""2 large acorn squash, halved and seeded"", ""2 tablespoons olive oil"", ""2 cloves garlic, chopped"", ""2 stalks celery, chopped"", ""2 carrots, chopped"", ""1 cup garbanzo beans, drained"", ""1/2 cup raisins"", ""1 1/2 tablespoons ground cumin"", ""salt and pepper to taste"", ""1 (14 ounce) can chicken broth"", ""1 cup uncooked couscous""]","[""Preheat oven to 350 degrees F (175 degrees C)."", ""Arrange squash halves cut side down on a baking sheet. Bake 30 minutes, or until tender. Dissolve the sugar in the melted butter. Brush squash with the butter mixture, and keep squash warm while preparing the stuffing."", ""Heat the olive oil in a skillet over medium heat. Stir in the garlic, celery, and carrots, and cook 5 minutes. Mix in the garbanzo beans and raisins. Season with cumin, salt, and pepper, and continue to cook and stir until vegetables are tender."", ""Pour the chicken broth into the skillet, and mix in the couscous. Cover skillet, and turn off heat. Allow couscous to absorb liquid for 5 minutes. Stuff squash halves with the skillet mixture to serve.""]"
Moroccan Vegetable Soup,"[""2 tablespoons olive oil"", ""1 onion, chopped"", ""1 cup peeled, chopped carrots"", ""1 cup peeled, chopped parsnips"", ""1 cup canned pumpkin puree"", ""1 quart vegetable stock"", ""1 teaspoon lemon juice"", ""salt to taste"", ""ground black pepper to taste"", ""1/2 teaspoon dried cilantro"", ""2 teaspoons olive oil (optional)"", ""1 clove garlic, minced (optional)"", ""3 tablespoons chopped fresh parsley (optional)"", ""1/8 teaspoon paprika (optional)""]","[""Heat 2 tablespoons olive oil in a large pot. Stir in onions; cook and stir until the onion has softened and turned translucent, about 5 minutes. Add carrots and parsnips. Cover and cook until vegetables have softened slightly, about 5 minutes."", ""Stir in the pumpkin puree and stock. Bring to a simmer and reduce heat to low. Cover and let simmer until vegetables are tender, about 40 minutes. Add lemon juice, salt, pepper, and cilantro. Taste and adjust seasonings, if necessary. Remove from heat and allow to cool."", ""Ladle soup in batches into a food processor and blend until smooth (or use an immersion blender). If soup is too thick, thin with additional stock. Return pureed soup to the pot and heat through."", ""To make the garnish, heat olive oil in a small skillet. Cook garlic and parsley over low heat 1 to 2 minutes. Stir in paprika. Swirl a half teaspoon of garnish on each serving of soup.""]"
Quick Moroccan Couscous,"[""2 cups water"", ""1 cup pearl (Israeli) couscous"", ""1 tablespoon olive oil"", ""1/2 cup chopped yellow onion"", ""1 shallot, chopped"", ""6 cloves garlic, quartered"", ""1/2 cup golden raisins"", ""1/2 cup chopped oil-packed sun-dried tomatoes"", ""1/2 cup slivered almonds"", ""1/2 teaspoon kosher salt"", ""1/4 teaspoon ground black pepper"", ""3 tablespoons lemon juice"", ""1 tablespoon butter, softened""]","[""Bring the water to a boil in a saucepan; stir couscous into the boiling water and cook until couscous absorbs all the water and is cooked through, 10 to 15 minutes."", ""Heat olive oil in a skillet over medium-low heat; cook and stir onion, shallot, and garlic in the hot oil until onion is lightly browned, 15 to 20 minutes. Stir raisins, sun-dried tomatoes, and almonds into onion mixture; cook and stir until heated through, about 5 minutes."", ""Stir couscous into onion-raisin mixture; cook and stir until heated through, about 5 minutes. Season couscous mixture with salt and pepper; add lemon juice. Remove skillet from heat and stir butter into couscous mixture.""]"
Moroccan Chickpea Casserole,"[""2 tablespoons olive oil"", ""2 onions, minced"", ""4 cloves garlic, chopped"", ""2 eggplants, cut into chunks"", ""1 red chile pepper, chopped"", ""2 teaspoons cumin seeds"", ""2 teaspoons coriander seeds, lightly crushed"", ""1 teaspoon saffron threads"", ""1 teaspoon salt"", ""4 cups drained and rinsed canned chickpeas"", ""1/2 cup pitted large green olives"", ""1/2 cup basmati rice"", ""1 thin-skinned lemon, thinly sliced"", ""2 1/2 cups vegetable broth"", ""1/4 cup chopped fresh cilantro, or to taste""]","[""Heat olive oil in a large skillet over medium heat. Cook and stir onions and garlic in the hot oil until translucent, about 5 minutes. Stir in eggplant, red chile pepper, cumin seeds, coriander seeds, saffron, and salt; cook until eggplant starts to soften, about 5 minutes."", ""Stir chickpeas, green olives, basmati rice, and lemon slices into the skillet. Pour in vegetable broth. Bring to a boil. Reduce heat, cover, and simmer until rice is tender, about 20 minutes. Fold in cilantro using a fork.""]"
Moroccan Sardine Meatballs,"[""1 (4 ounce) can sardines, drained"", ""2 eggs"", ""2 tablespoons dry bread crumbs"", ""1/2 teaspoon ground paprika"", ""1/2 teaspoon ground turmeric"", ""1/2 teaspoon ground ginger"", ""1/2 teaspoon garlic powder"", ""1/2 teaspoon onion powder"", ""salt and ground black pepper to taste"", ""2 tablespoons olive oil"", ""1/4 onion, chopped"", ""2 cloves garlic, chopped"", ""1 (14.5 ounce) can canned diced tomatoes"", ""2 tablespoons ground coriander"", ""1/2 teaspoon ground cumin""]","[""Place sardines in a food processor; puree until smooth. Add eggs, bread crumbs, paprika, turmeric, ginger, garlic powder, onion powder, salt, and black pepper. Pulse briefly until well-combined. Shape mixture into small balls."", ""Heat oil in a large skillet over medium heat. Add onion and garlic; cook and stir until fragrant, about 5 minutes. Stir in tomatoes, coriander, and cumin. Reduce heat, cover, and simmer sauce until flavors combine, about 15 minutes. Stir in meatballs and simmer until heated through, about 5 minutes.""]"
